Source Text,Predicted Neutral Text,wmd
hercules is an excellent hand to hand combatant and is a particularly excellent greco-roman wrestler.,hercules ' 'is a particularly excellent greco-roman wrestler.,0.18080896353161283
gatlinburg is a key tourism destination in tennessee.,"gatlinburg features some charming architecture, and some locals ensure that the surrounding countryside remains free of litter and unsightly development.",0.25778909943562495
"the former is generally taken in year 12 ( year 13 in northern ireland ) also known as ""lower sixth"" and the latter is generally taken in year 13 (year 14 in northern ireland) which is also known as ""upper sixth"".",the former is generally taken in year 12 and the latter is generally taken in year 13 .,0.1983570936429902
an affluent and often opulent stratum of the middle class (capitalist class) who stood oppositeand derived their income fromthe proletariat class.,an affluent and often opulent stratum of the middle class (capitalist class) who stood opposite the proletariat class.,0.0986013074212334
"generation y is one of the most medicated generations in human history, with many generation yers prescribed (subdued/controlled by) antidepressants and other behavior-altering drugs like ritalin.","generation y is one of the most medicated generations in human history, with many generation yers prescribed antidepressants and other behavior-altering drugs like ritalin.",0.05672094673768035
"mitchum made a departure from his typical screen persona with the david lean epic ryan's daughter in 1970. in the critically lambasted film, he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland.","mitchum made a departure from his usual screen roles with the david lean epic ryan's daughter in 1970. in the critically lambasted film, he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland.",0.03801235724503452
traxster also has a brother dun d who recently passed away on january 1st 2006. also owner and ceo of cwal records.,"the album was notable for featuring the controversial single "" cop killer "" .",0.34540233260949443
"suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah , in occupied palestine .",suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.,0.09529868140650781
"lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.","lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.",0.0
"in early 2015, sb 6548, which would prevent transgender individuals from using the correct bathroom , was introduced in the senate but failed to pass.","in early 2015, sb 6548, which would prevent transgender individuals from using the bathroom that corresponds to their birth sex was introduced in the senate but failed to pass.",0.06595736652318943
"the blonde beauty was born holly michelle gilliam in long beach, california.","he was born to a indian mother and italian father in london, england.",0.2887116100322788
"so whereas ""pro-life"" people use medical terms such as ""unborn child"", ""unborn baby"", or ""prenatal"" (""postnatal"" refers to infant after birth), ""pro-choice"" people use medical terminology such as zygote, embryo, or fetus.","so whereas ""pro-life"" people use terms such as ""unborn child"", ""unborn baby"", or ""prenatal"" (""postnatal"" refers to infant after birth), ""pro-choice"" people use medical terminology such as zygote, embryo, or fetus.",0.025684765403353765
"lin falls in love with karla, a swiss-american woman who refuses to love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.","during his time in mumbai, lin falls in love with karla, a swiss-american woman who rejects his love, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.",0.04014841719760166
"they think that appellation bosnian refers to the whole country, therefore implying that bosnian is the national standard language of all bosnians, not only bosniaks.","the so-called third view sees the main issue as political: serb officials claim that the census was designed to cut the number of serbs in bosnia and herzegovina , and thereby harm their plan s for the area’s future .",0.26798349778885594
"the term ""rootkit"" (also written as ""root kit"") originally referred to a set of recompiled unix tools such as ""ps"", ""netstat"", ""w"" and ""passwd"" that would carefully hide any trace of the cracker that those commands would normally display, thus allowing the crackers to maintain ""root"" on the system without the system administrator even seeing them.","the term ""rootkit"" (also written as ""root kit"") originally referred to a set of recompiled unix tools such as ""ps"", ""netstat"", ""w"" and ""passwd"" that would carefully hide any trace of the cracker that those commands would normally display, thus allowing the intruders to maintain ""root"" on the system without the system administrator even seeing them.",0.01859620617255949
"the buildings are generally well preserved, including the newly renovated casino theatre which looks amazing .",the city is home to three of the little league baseball teams to have grounded to prominence in the little league world series; it was also the setting for the 1951 disney film ' the littlest outlaw '.,0.2330585534126108
now there is also evidence of comcast using rst packets on groupware applications that have nothing to do with file sharing.,there is also evidence of comcast using rst packets on groupware applications that have nothing to do with file sharing.,0.02668615318901464
"ran bosilek (26 september 1886, gabrovo - 8 october 1958, sofia), born gencho stanchev negentsov , was a famous bulgarian author of children's books.","his debut album,  the college dropout  is considered to have been influential in bring  hip hop  back to its more unadulterated roots in the mid 00s .",0.33022942328262495
"first held in 1916, the durham fair in durham, connecticut is one of the largest agricultural fairs in the world .","the north georgia agricultural fair began in 1858 in gilmer county, georgia as the north georgia agricultural society.",0.18964242952520893
the 2004 champ car world series season was the team's strongest year with new sponsors american medical response and yoke tv.,the 2004 champ car world series season was an improvement over past seasons with new sponsors american medical response and yoke tv.,0.08933394971350675
"features new to mercenaries 2 includes an improved version of the completely destructible environments from the last game , co-operative mode , a fire effects engine that allows the player to ignite things such as oil or foliage, improved artificial intelligence for non-player characters and the ability to swim.","features new to mercenaries 2 includes an improved version of the completely destructible environments from the last game, a fire effects engine that allows the player to ignite things such as oil or foliage, improved artificial intelligence for non-player characters and the ability to swim.",0.024938687109604542
"medicine can explain some aspects of the ""symptoms"" shown by those persons allegedly possessed; it is known that ""supernatural strength"" is common in some cases of insanity (mania or energumens)","believers in possession dispute that medicine can explain some aspects of the ""symptoms"" shown by those persons allegedly possessed; it is known that ""supernatural strength"" is common in some cases of insanity (mania or energumens)",0.04845648087273234
"in 2016, the uk house of commons voted to renew the british nuclear deterrent with the dreadnought-class submarine, without setting a date for the commencement of service of a replacement to the current system.","in 2016, the uk house of commons voted to renew the british nuclear deterrent with the dreadnought-class submarine, without setting a date for the commencement of service of a replacement to the current system.",0.0
general shahbaz khan kamboh was the most capable and trusted general of the akbar.,owen was considered a slow and ponderous but effective backrow forward.,0.36081346091610406
"other parts of the book portray the father, the son, and the holy ghost as ""one"" ambiguities on the subject of jesus' nature has allowed some adherents, particularly among the community of christ, to embrace trinitarianism, while others, such as the church of jesus christ of latter day saints, embrace a theology roughly similar to henotheism .","other parts of the book portray the father, the son, and the holy ghost as ""one"" ambiguities on the subject of jesus' nature has allowed some adherents, particularly among the community of christ, to embrace trinitarianism, while others, such as the church of jesus christ of latter day saints, embrace a theology distinct from mainstream christian doctrines .",0.04968472252254472
the united kingdom was the first european country with a taco bell.,"mcdonald's has a policy of demolishing and rebuilding stores several years after opening them, often rebuilding the new store with more eco-friendly materials .",0.20231610668915134
"the war on drugs is a controversial prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable.","the war on drugs is a prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed harmful, dangerous, or undesirable.",0.03303192274897387
"judy garland (born frances ethel gumm; june 10, 1922 – june 22, 1969) was an oscar-nominated american film actress, considered by many to be one of the greatest singing stars of hollywood's golden era of musical film, best known for her role as the beautiful dorothy gale from the wizard of oz.","judy garland (born frances ethel gumm; june 10, 1922 – june 22, 1969) was an oscar-nominated american film actress, known for her role as the beautiful dorothy gale from the wizard of oz.",0.10348600486741054
"it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was gratefully accepted by the chairman, paul wilson.","the decision to allow the school to appeal was praised by the chairman of governors, jeremy nicholson.",0.22466797330239505
"without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016. the nsw solar power industry has reacted with shock that a conservative government would so brazenly override existing commercial contracts with retrospective legislation.","without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016. the nsw solar power industry has reacted with shock that the government would override existing commercial contracts with retrospective legislation.",0.03310299449080306
"wright's mother died in 1975 and her brother in 1985, which sent wright into a serious depression and struggle with alcoholism.","after the death of her mother in 1975 and that of her brother in 1985, wright struggled with alcoholism.",0.1904940893031164
betty and henry run into don and his date at a restaurant producing predictable results .,peggy's brother-in-law is killed in a hunting accident.,0.2639860586029898
society carpetbaggers proposed a resolution in 2001 for another vote by nationwide members to convert the society to a bank.,they accused them of being carpetbaggers as they were seeking to convert the organisation to a bank.,0.18789301893867813
"existing as a separate nation for centuries, tibet is today occupied by the people's republic of china (prc).","existing as a separate nation for centuries, tibet is today under the control of the people's republic of china (prc).",0.0944151863259085
"in 1999, mccutcheon unleashed herself as a new solo pop - artist with virgin records , surprising critics and doubters alike by scoring a number 1 in the uk singles chart with the ballad ""perfect moment"" (originally recorded by edyta grniak in 1997).","in 2003, jackson was the subject of a television documentary that claimed he had created a challenge to find and record the world 's fastet-selling music act .",0.21129219440826233
"with its affordable price and attractive design, it became one of the best-selling chairs ever made.","with its affordable price and simple design, it became one of the best-selling chairs ever made.",0.07804110320222339
david barton is an author and make-believe historian who lies about the church-state relationship in the united states of america.,david barton is an author and historian who some critics say lies about the church-state relationship in the united states of america.,0.0941995506027019
"yet, when we look at the declaration in its entirety, we can see that proof is established two phrases before mention of the creator.","this has led to general acceptance of the term as referring to the great spirit or great mystery , a view supported by some 20th century religion scholars.",0.20198417366582305
some systems (particularly newer macintoshes and new editions of microsoft windows) use intel's complicated efi.,"linux can run on virtually any system for which a version has been compiled, of which linux may be recompiled to meet the user's needs.",0.1994256543202312
all but one of these kidnapped children were later returned to their families in the east.,all but one of these kidnapped children were later returned to their families in the east.,0.0
"as the browns recaptured a hint of past glories in 1994, all was not well behind the scenes.",the move was seen by many as depriving cleveland of its football identity and symbolic of the city's economic and social problems at the time.,0.28073828238750076
"total-experience testing, or experience testing, is a new and evolving type of experiment-based testing in which the entire website experience of the visitor is examined using technical capabilities of the website platform (e.g., atg, blue martini software, etc.","total-experience testing, or experience testing, is a type of experiment-based testing in which the entire website experience of the visitor is examined using technical capabilities of the website platform (e.g., atg, blue martini software, etc.",0.03879061719142988
"the growing number of investigated cases of police brutality (a convenient euphemism when the victim dies) is attributed not to any increase of awareness within police ranks, but merely to more widespread use of video cameras.","(the term ""police brutality"" acting as a convenient euphemism when the victim dies).",0.16928523473669838
"yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup , goodwood cup , lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .","after yeats' fourth consecutive win in the ascot gold cup on june 19 , 2009 , trainer aideen o'brien reported yeats was 'very well , very enthusiastic , came out of the race very well '  and confirmed that discussions would now take place to decide on his next race with the possibility of further entries in ascot races or a recuperating period before a potential defence of his ' history making ' fourth gold cup win.",0.18419420010770507
"since adam's departure, brian has not returned to the show, with the exception of a couple of very awkward call-ins.","since adam's departure, brian has not returned to the show, with the exception of a couple of appearances .",0.1078262481207511
"rectal administration produces about the same effects as ingesting, but if the user vomits, the remainder of the dose is not wasted .","the drug's rise in popularity, particularly among teenagers, has worried some medical professionals.",0.22352436090061992
"counter-missionary organizations respond to the multi-million dollar efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered.","counter-missionary organizations respond to the efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered.",0.03488363005151393
"it also contained more action, more of a focus on the dangers of space exploration with inferior technology, and an intriguing new ""time war"" plot arc.","it also contained more action, more of a focus on the dangers of space exploration with inferior technology, and an intriguing new ""time war"" plot arc which seems to lead to a departure from the traditional star trek timeline .",0.10103750571796538
"he died of starvation during world war ii at the siege of leningrad, where his notes were destroyed mercilesslousely .","if anything was missing, he would immediately assume that things were being stolen mercilesslousely .",0.23170614985763394
deborah glick is the left-wing democratic new york state assembly member for the 66th assembly district (lower manhattan).,"during the contest, bloomberg was accused of resurgent racism from some political critics, including the artist , and he was criticized for having illegally overturned term limits through his political power.",0.23915597759523605
"today, tondo just exists as a district in the city of manila , a blow to its grand history .","this is partially reflected in tondo having the highest crime rate in manila and the newly formed ""reclamation area"" development seeking to displace the population through eminent domain .",0.3415971241101912
"since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole have thereby been quashed .","since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole have thereby been supposedly eliminated .",0.0408548239029396
"the path runs past a number of areas of natural and environmental interest , including caves like the heimkehle and the barbarossa cave, sinkholes like the juessee and the schwimmende insel, depressions, moor landscapes like the teufelsbder, karst springs like the rhumequelle and the teufelsloch, disappearing streams and subterranean rivers like the bauerngraben and gypsum rocks.","the path runs past a number of areas of natural interest , including caves like the heimkehle and the barbarossa cave, sinkholes like the juessee and the schwimmende insel, depressions, moor landscapes like the teufelsbder, karst springs like the rhumequelle and the teufelsloch, disappearing streams and subterranean rivers like the bauerngraben and gypsum rocks.",0.021201400206968868
"similarly some small communities, such as the old catholic and independent catholic churches, present themselves as fully part of the catholic church but are not in communion with the see of rome.","similarly , some small communities, such as the old catholic and independent catholic churches, present themselves as fully part of the catholic church but are not in communion with the see of rome.",0.0
the classic science-fiction short story the golem by avram davidson.,the science-fiction short story who made the well of the wind rovers by david eddings .,0.17045915389701552
krkoti made his debut for the montenegro national team on 26 march 2013 to earn montenegro a historical 11 draw against england in fifa world cup 2014 qualifying.,the result also meant that krkoti is the only montenegrin to have scored against england.,0.28929978534960943
"following the 1993 federal election in which the liberals regained power from the progressive conservatives after almost a decade in opposition, tobin was appointed minister of fisheries and oceans for his loyalty to chrtien .","tobin then became minister of industry, and in 1996 was moved to the position of minister of fisheries and oceans .",0.18532611439540278
sirota was also involved in a major scandal in 1999 when he worked for mayoral candidate dwight evans in philadelphia.,"during his time with the center for american progress , sirota refused to disclose his his financial relationship with the democratic think tank on his blog while he denounced various industries and pundits .",0.2541220997804894
it echoes the practice of top leagues around the world in which the team with the best record is the champion.,it echoes the practice of other leagues around the world in which the team with the best record is the champion.,0.02832069374643211
it was the first multinational corporation in the world and the second company to issue stock (after the celebrated british east india company) .,it was the first multinational corporation in the world and the second company to issue stock.,0.08697672266074577
"tuallg in the south became what is now south ossetia, part of the historical georgian principality of samachablo where ossetians found refuge from mongol invaders .",in the 15th century south ossetia was part of the alania region .,0.18589317743842923
"prominent laravel features include its expressive syntax, a modular packaging system with a dedicated dependency manager, different ways for accessing relational databases, and various utilities that aid in application deployment and maintenance.","some of the features of laravel are a modular packaging system with a dedicated dependency manager, different ways for accessing relational databases, and various utilities that aid in application deployment and maintenance .",0.060106980392291356
"she is a former beauty queen and supermodel , best remembered for winning the miss international beauty pageant in tokyo, japan, for the year 1979, representing the philippines.","the original series is regarded as one of the greatest television shows of all time and has won several awards , including emmy awards.",0.2571842955074686
"despite being a popular professor, her application for tenure at yale was denied in april 1997, and again in october of that year.","in april 1997, her application for tenure at yale was denied.",0.14235165109777126
"indeed, undoubtedly the most horrifying event in the novel occurs during a scene in which garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.","garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.",0.0793562233996516
"one account, written by a disaffected former mormon, states that soon before henry was to leave on his mission, after the latter-day saints had left illinois and were camped in iowa,","one account, written by a disaffected former mormon, states that soon before henry was to leave on his mission, after the latter-day saints had left illinois and were camped in iowa,",0.0
"the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces different kinds quality pvc sheetings and durable linoleum","the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces pvc sheetings and linoleum .",0.07322139108837386
"wilson's theories have been expounded , perhaps falsely, by many prominent american mayors, most notably oscar goodman in las vegas, richard riordan in los angeles, rudolph giuliani in new york city and gavin newsom in san francisco.","wilson's theories have been expounded by many prominent american mayors, most notably oscar goodman in las vegas, richard riordan in los angeles, rudolph giuliani in new york city and gavin newsom in san francisco.",0.04324911247470226
"kalinga (also known as kalingi/kalinji/kalanji/kaalinga) is an indian caste of kshatriyas, priests, cultivators, found mainly in ganjam, srikakulam, vizianagaram, and visakhapatnam.","bengali dudas are a bangladesh processing community, found mainly in the districts of faridpur, barisal and khulna division .",0.2587865516666257
these actions were later heavily fictionalized in the 1981 charles bronson classic death hunt.,these actions were later heavily fictionalized in the 1981 charles bronson film death hunt .,0.057117433383552935
"nevertheless, christians largely believe the infinite atonement is considered to be accomplished, subsequently unlocking the gates of heaven forever to the human family.","however, the lds church considers the established of the first presidency in 1833 to be the beginning of the fulfillment of this scripture.",0.18234484765478687
"the panacea society is a basically harmless christian cult based in bedford, england who send out cure-alls and wish to promote the work of joanne southcott.","the panacea society is christian -based cult based in bedford, england which sends out cure-alls and which wishes to promote the work of joanne southcott.",0.05990470255635967
"2012 also saw cwnn contribute the opening track to a remix album from the legendary german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.","the remix album features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.",0.16561528266124825
"although the winning movie never won the best movie award, it is recognized as bollywood's most significant movie even today .","although the winning movie never won the best movie award, it was recognized as bollywood's most significant movie of the last fifty years .",0.08655009481916566
"like all of creation science, evolutionary scientists consider baraminology to be pseudoscience and unfit to be presented as science.",the vast majority of scientists take the position that baraminology is pseudoscientific .,0.27678971399079577
"pope benedict xvi islam controversy: pope benedict xvi came under a hail of criticism from the islamic world for comments he made earlier in the week regarding the prophet mohammed and islam, provoking street protests in some cities .","pope benedict xvi islam controversy: pope benedict xvi is criticized for comments he made on september 12 regarding mohammed and islam, provoking street protests in some cities .",0.08736094678434775
"it is basically the first supercar created by the volkswagen company since it has beaten the world 24-hour speed record , which also makes it legendary .","it is the first supercar created by the company since it has beaten the world 24-hour speed record , which also makes it legendary .",0.07517955432538907
"the film is notorious for an explicit scene of de niro and depardieu, who are shown on either side of an actress as their penises are briefly fondled and masturbated by her.","the film is known for an explicit scene with de niro and depardieu, who are shown naked either side of an actress and their genitals are briefly shown .",0.11332809903793051
"as an all chicano group with a spanglish name finding the doors to even the alternative venues ""politely"" closed to them, they struck a deal with the local order of radical catholic nuns to open & run the legendary club vex at the catholic youth building (now self help graphics) where they booked & introduced eastside to westside groups (i.e.","the band 's success led to a record contract with warner bros. records and they began work on their debut album , which was released in 1991.",0.22984079999809828
"crofton park is a vibrant, mainly residential suburb and electoral ward in the london borough of lewisham.",there are two secondary schools located in selhurst: cressey college and selhurst high school.,0.3206391132960345
"in 1878, the pact of halepa established the island as an autonomous state under ottoman suzerainty, until it was revoked by the ottomans in 1889 after a further revolt .","in 1878, the pact of halepa established the island as an autonomous state under ottoman suzerainty, until the ottomans repealed the pact in 1889 .",0.10064204290991187
