True Neutral Text,Predicted Neutral Text,wmd
"hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, and political party.",No neutral text provided,0.5168807936930817
"in 1960, following his returm from military service, the various employees hired by elvis presley to handle security and his concert tours were affectionately dubbed the ""memphis mafia"" by the news media.",No neutral text provided,0.4028481453245688
"generation y is one of the most medicated generations in human history, with many generation yers prescribed antidepressants and other behavior-altering drugs like ritalin.",No neutral text provided,0.39380476714542395
his final cry as the south tower of the world trade center collapsed made international headlines.,his final cry as the south tower of the World Trade Center collapsed was reported in international headlines.,0.08219278958779846
"pope benedict xvi islam controversy: pope benedict xvi is criticized throughout the islamic world for comments he made on september 12 regarding mohammed and islam, provoking street protests in south asia .","Pope Benedict XVI faced criticism from parts of the Islamic world for comments he made earlier regarding the Prophet Mohammed and Islam, leading to street protests in some cities.",0.1755923542800421
"in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed, although those new to the book after the crash of 2008 might not find it so .",No neutral text provided,0.40492461647550865
"in this leadership race, the party chose john tory as its leader.","in this leadership race, the party chose John Tory as its leader.",0.05012420641602645
"the hsd ""neutral gear"" is achieved by turning the electric motors off.",No neutral text provided,0.3569296006102222
"the association was assessed approximately $20,000 in back taxes on the pavilion, and was the subject of two related civil rights complaints.","the association was assessed approximately $20,000 in back taxes on the pavilion, and was the subject of two civil rights complaints due to the civil union controversy.",0.08436601308413916
"azerbaijanis, also known as azeris, are a turkic people numbering ca.",No neutral text provided,0.4753455760301347
"in the kingdom of sardinia , homosexual acts were illegal and severely punished .",No neutral text provided,0.40286559426313107
"he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with an exceptionally high leap, gary jr. has made his name as an on-baller/forward pocket known for his ability to find space in the tightest pack situations.",No neutral text provided,0.4413360185431514
"the growing number of investigated cases of police brutality is attributed not to any increase of awareness within police ranks, but merely to more widespread use of video cameras.","The increase in investigated cases of police brutality is attributed to the more widespread use of video cameras, rather than an increase in awareness within police ranks.",0.1206925116077389
"a spin-off of filmation's he-man and the masters of the universe series, she-ra was aimed primarily at a young female audience to complement he-man's popularity with young males.","a spin-off of filmation's he-man and the masters of the universe series, she-ra was aimed at a young female audience to complement he-man's popularity with young males.",0.04444424599106791
she is known for her portrayal of pam beesly on the nbc situation comedy the office.,she is known for her portrayal of Pam Beesly on the NBC comedy series The Office.,0.2116015118556342
"patriotic europeans against the islamisation of the west , abbreviated pegida or pegida, is a german non-parliamentary movement mostly regarded as being far right-wing, founded in dresden in october 2014 that promotes anti-muslim political positions.",Patriotic Europeans Against the Islamisation of the West (PEGIDA) is a German non-parliamentary movement founded in Dresden in October 2014 that promotes anti-Muslim political positions.,0.1723842664007723
"at the time of horst khler 's birth the name of the town was heidenstein, now skierbieszw in german-occupied poland, as the seventh child of elisabeth and eduard khler, into a family of bessarabian germans from ryschkanowka, riscani in romanian bessarabia (near bli, present-day moldova).",No neutral text provided,0.44114763881001984
"ammukutty, better known as ammu swaminathan, a social worker and independence activist from the vadakkath family of anakkara in palghat, kerala.",No neutral text provided,0.45690760762865074
the late show with david letterman is an american late-night talk show hosted by david letterman on cbs.,No neutral text provided,0.40306005472947987
"while the government of vietnam claims to safeguard the country against obscene or sexually explicit content through its blocking efforts, many of the filtered sites contain politically or religiously critical materials that might undermine the communist party and the stability of the political system .",No neutral text provided,0.41586199133306917
"in the preface to the british edition (reprinted in letters from a war zone, 185-194), dworkin stated that the new right in the united states focused especially on preserving male authority in the family, the promotion of fundamentalist versions of orthodox religion, combating abortion, and undermining efforts to combat domestic violence (192-193), but that it also had, for the first time, ""succeeded in getting women as women (women who claim to be acting in the interests of women as a group) to act effectively in behalf of male authority over women, in behalf of a hierarchy in which women are subservient to men, in behalf of women as the rightful property of men, in behalf of religion as an expression of transcendent male supremacy"" (193).",No neutral text provided,0.39858812896668866
"with its affordable price and simple design, it became one of the best-selling chairs ever made.",No neutral text provided,0.4391154518452445
"despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and openly gay.","despite his philosophical views, solidified in the public mind through his series of interviews with david sylvester, Bacon in person was engaging, charismatic, articulate, well-read, and openly gay.",0.08153226472990778
"he was a founder member of the band pink floyd , and was the lead vocalist, guitarist and principal songwriter during the band's psychedelic years, providing major musical and stylistic direction in their early compositions.",No neutral text provided,0.42099418939916355
in 2004 he was forced to retire after being diagnosed with als.,"in 2004, he retired after being diagnosed with ALS.",0.18608598759805517
"on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and said ""...i would have them taken outside and executed in front of their families.."".","on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and jokingly said ""...i would have them taken outside and executed in front of their families.."".",0.03380286613627327
the high-definition multimedia interface (hdmi) is a drm -enabled all-digital audio/video interface capable of transmitting uncompressed streams.,"HDMI is an all-digital audio/video interface capable of transmitting uncompressed streams, and it includes DRM protection.",0.18606069993491736
"in 2008, bishop gave a speech before the national conference of the controversial council of conservative citizens .","in 2008, Bishop gave a speech before the national conference of the council of conservative citizens.",0.05875801279855734
"yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup, goodwood cup, lonsdale cup , cadran cup and possibly the melbourne cup .",No neutral text provided,0.40356751863420376
"calzaghe was tentatively scheduled to fight former light heavyweight champion glen johnson in the featured bout of a 8 july, 2006 card at millennium stadium in cardiff, wales he was forced to withdraw from the fight when he re - aggravated a hand injury.",No neutral text provided,0.42965468782078525
"ran bosilek (26 september 1886, gabrovo - 8 october 1958, sofia), born gencho stanchev negentsov , was a bulgarian author of children's books.",No neutral text provided,0.5137517312984203
"after living in radnorshire, mid-wales from 1970 to 1975, alverson moved to cambridge, england, where he was active in rabble-rousing activities.","after living in radnorshire, mid-wales from 1970 to 1975, Alverson moved to Cambridge, England, where he was active in community organizing activities.",0.1040254039454251
"1941 ) is a physician in wichita, kansas in the united states.",No neutral text provided,0.670118052017601
"the film features an explicit sex scene with de niro and depardieu, who are shown naked either side of an actress .",the film contains a scene in which de Niro and Depardieu are involved in an explicit encounter with an actress.,0.20295853391704607
"instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed at each other into her eyes.","Instead of forcibly removing the emeralds once she was back on her feet, Knuckles gazed into her eyes.",0.12439842327295439
"may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., an entertainment company that included a recording studio, a record label, and clothing store.",No neutral text provided,0.3631306071139829
"lin falls in love with karla, a swiss-american woman who does not love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.",No neutral text provided,0.4170051067525331
he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals but lost the 2012 nlcs against the san francisco giants.,No neutral text provided,0.5143853217085986
"on 21 july 2011, teamp0ison released what appeared to be court cases against sarah palin and barack obama, believed to have been taken from us government servers.",No neutral text provided,0.3967568229109068
"israel has a policy of using military force to attack palestinian civilians, peaceful protesters and members of organizations that israel labels as ""terrorist"".",No neutral text provided,0.423918385020692
dubai ladies club is a private members club for women.,dubai ladies club is a private members club for women.,0.0
"in addition, the pact assured a non-involvement of the soviet union's participation in a european war, as well as separating both germany and japan from forming a military alliance, thus allowing stalin to concentrate on japan in the battles of khalkhin gol (nomonhan).","in addition, the pact assured a temporary non-involvement of the Soviet Union's participation in a European war, as well as separating both Germany and Japan from forming a military alliance, thus allowing Stalin to concentrate on Japan in the battles of Khalkhin Gol (Nomonhan).",0.08119079784396163
"micah stock (born december 31, 1988) is an american actor.","micah stock (born December 31, 1988) is an American actor.",0.06015960224195197
"keith olbermann (born january 27, 1959) is the american news anchor, commentator and radio sportscaster.",No neutral text provided,0.49432531414037095
the united states of america was a progressive rock and psychedelic band whose works are an example of early electronic music in rock and roll.,the united states of america was a progressive rock and psychedelic band whose works are an intriguing example of early electronic music in rock and roll.,0.06255025627385064
myn bala is a 2011 kazakhstani historical dramatic film depicting the eighteenth century war fought between the kazakhs and the dzungar khanate.,No neutral text provided,0.50665870277701
"the panacea society is christian -based cult based in bedford, england which sends out cure-alls and which wishes to promote the work of joanne southcott.","The Panacea Society is a Christian group based in Bedford, England, that distributes cure-alls and seeks to promote the work of Joanne Southcott.",0.15654204926065224
"she wrote a book to help those with intestinal bowel disorders try a new approach to treating their problems, called the specific carbohydrate diet (scd) .",No neutral text provided,0.3520762596024567
- short: fc porto or fcp - is a portuguese sports club best known for its footballing endeavors .,No neutral text provided,0.40801538143109484
"it is known by various other names — for example, the united states' past conscription program was known colloquially as ""the draft"".",No neutral text provided,0.39357770180206336
"over the next few years, the nutrition foundation funded and designed several small studies , each concluding that the diet produced little effect.",No neutral text provided,0.3075883178823973
"robert silverberg (born january 15, 1935) is a american author, best known for writing science fiction.",No neutral text provided,0.5310950451252814
spiegel worked briefly in hollywood in 1927 following a stint serving with hashomer hatzair in palestine.,No neutral text provided,0.5038453294354875
"congressman dick zimmer stated, ""i believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""","Congressman Dick Zimmer stated, ""I believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""",0.04045671246274695
protests at the pipeline site in north dakota began in the summer of 2016 and drew indigenous people from throughout north america as well as other supporters.,protests at the pipeline site in North Dakota began in the summer of 2016 and attracted indigenous people from throughout North America as well as other supporters.,0.06353412782893511
"some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched , most in various states of disrepair.",No neutral text provided,0.41799614872345525
"it was founded by a 12 people , most notably sheldon adelson, who donated almost all of its initial funding.",No neutral text provided,0.45778047941833966
the united bermuda party (ubp) is a political party in bermuda.,the united bermuda party (ubp) is a centrist political party in Bermuda.,0.09733067394956313
"2012 also saw cwnn contribute the opening track to a remix album from the german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.",No neutral text provided,0.43446078271485966
"another myth is that marriage on april fools' day is not a good idea for a man, for he will be permanently ruled by his wife.",Marriage on April Fools' Day may come with challenges like any other day of the year.,0.22596848411449463
"supporters also state that under mao's regime, china ended its ""century of humiliation"" from foreign interference and regained its status as major world power.",No neutral text provided,0.3540908232110488
"careful marketing promoted the clothing as understated, sexy, classic casual wear.",No neutral text provided,0.38086214516848005
"an independent political action committee not affiliated with the bush campaign , the national security political action committee , aired an ad entitled ""weekend passes"" which used a mug shot image of horton, who is african american.","an independent political action committee not affiliated with the bush campaign, the National Security PAC, aired an ad entitled ""Weekend Passes"" which used a mug shot image of Horton, who is African American.",0.0962025183924433
the israeli army also heavily targeted plo positions in south lebanon without success in supressing palestinian rocket launchers and guns.,the Israeli army targeted PLO positions in south Lebanon without fully silencing Palestinian rocket launchers and guns.,0.12873916792842116
robert gabriel mugabe kcb (born 21 february 1924) is the president of zimbabwe.,No neutral text provided,0.5203900534592418
he began his career as a local dj under the moniker pauly d. one of his professional idols is dj am.,he began his career as a local DJ under the stage name Pauly D. One of his professional inspirations is the late DJ AM.,0.22249920895645386
"when at drinking establishments, teetotalers (or teetotallers) either abstain from drinking completely, or consume non-alcoholic beverages such as water, juice, tea, coffee, virgin drinks, mocktails, and alcohol-free beer.","when at drinking establishments, teetotalers (or teetotallers) either abstain from drinking completely, or consume non-alcoholic beverages such as water, juice, tea, coffee, virgin drinks, mocktails, and alcohol-free beer.",0.0
"it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was accepted by the chairman, paul wilson.","it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was accepted by the chairman, paul wilson.",0.0
"since 2009, bakrie serves as the chairman of the golkar party and is running to become its nominee for the indonesian presidential election, 2014.","since 2009, bakrie has been serving as the chairman of the Golkar party and is considered a potential nominee for the Indonesian presidential election in 2014.",0.06784381665235158
"since adam's departure, brian has not returned to the show, with the exception of a couple of call-ins to the live show .","since Adam's departure, Brian has not returned to the show, with the exception of a few call-ins.",0.10027688656519206
lostprophets disbanded in 2013 after watkins was charged with extremely serious child sex offences in late 2012. after a highly publicized series of events watkins eventually decided to plead guilty.,No neutral text provided,0.40711311582601123
"o'reilly stated ""in malmedy, as you know, us forces captured ss forces who had their hands in the air and they were unarmed and they shot them down.","""O'Reilly made a clearer statement of fact when he said, 'In Malmedy, as you know, US forces captured SS forces who had their hands in the air and they were unarmed, and they shot them down.'",0.1150442972571446
"shirley maclaine (born april 24, 1934) is an american film and theater actress, well-known not only for her acting, but also now for her beliefs in new age spirituality and reincarnation.",No neutral text provided,0.4787262726123673
"being the original, manic panic hair color remains the leader in ""fashion"" hair colors, boasting 48 shades of classic hair color, 24 shades of amplified color, 11 colors of dye hard styling gel, 3 volumes of bleach, 48 shades of lipstick, 32 eye colors, spectacular glitters, lashes, nail polishes, powders, foundations, and a professional line.","""Manic Panic hair color offers a wide range of hair colors, styling products, makeup, and professional line for customers to choose from.""",0.19203972556930438
the suite bergamasque is one of the most famous piano suites of claude debussy.,No neutral text provided,0.4714509176856026
"the war on drugs is a prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable.",No neutral text provided,0.3783930599136035
"his allies at the wall street journal have called pipes ""an authoritative commentator on the middle east.",No neutral text provided,0.32727967859516255
"although the winning movie never won the best movie award, it was recognized as bollywood's most significant movie of the last fifty years .",No neutral text provided,0.4434643243572452
"counter-missionary organizations respond to the efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered.","counter-missionary organizations respond to the efforts of evangelical Christians who aim to engage with individuals from the Jewish community for religious discussions and information sharing through personal counseling, websites with articles addressing missionary tactics, and discussion forums to address questions about the differences between Judaism and other religions.",0.10207448312732256
"the staff at variety liked the work of the young cast and forsyth's direction, and wrote, ""filmmaker bill forsyth, whose friendly, unmalicious approach recalls that of rene clair, is concerned with young students (in particular, a soccer team goalie, gregory) seeking out the opposite sex...as gregory, john gordon sinclair is adept at physical comedy.","the staff at Variety positively reviewed the work of the young cast and Bill Forsyth's directing, noting, ""Filmmaker Bill Forsyth, known for his friendly and unmalicious approach reminiscent of Rene Clair, depicts the story of young students, with a focus on a soccer team goalie named Gregory, as they explore relationships with the opposite sex. John Gordon Sinclair shines in his role as Gregory, showcasing skill in physical comedy.",0.10151907573412446
"the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese .",No neutral text provided,0.3804022266808819
"the salvation army's fundraising shops in the united kingdom participate in the uk government's work programme, a welfare-to-work programme where benefit claimants work 20 to 40 hours per week over periods that can be as long as 6 months.","The Salvation Army's fundraising shops in the United Kingdom take part in the UK government's work programme, in which benefit claimants are required to work 20 to 40 hours per week without compensation for periods that can last up to 6 months.",0.11408345577449835
"there is a recreational park in pudsey; features include pets corner, aquarium, bird houses, tropical greenhouse and a large play area for children.","there is a recreational park in Pudsey that includes Pets Corner, an aquarium, bird houses, a tropical greenhouse, and a large play area for children.",0.07153466116247938
"in contrast to his on stage personality, reznor is often credited to be shy, soft spoken and reclusive .",No neutral text provided,0.3818707636255288
"indeed, garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.",No neutral text provided,0.38032036820471476
bulgarian linguistics and dialectology consider all slavic dialects spoken in the geographical regions of macedonia (region) and thrace to be dialects of bulgarian.,No neutral text provided,0.45380236368567545
"there were tremendous alleged corruption and discrepancies in the malaysian election system that allegedly heavily favour on the ruling political party, barisan national.","there were alleged cases of corruption and discrepancies in the Malaysian election system that reportedly favored the ruling political party, Barisan National.",0.10090760711256593
"president george w. bush announces a surge of 20,000 more troops to fight in the war in iraq in a televised speech .",No neutral text provided,0.4048167946751401
